DemandNumber,RRD_Market,DU_Lead,Demand_Owner,DEMAND_SUB_SEGMENTATION,Demand_Category,Demand_Alert,CRSD_Date,RHL_Y_Date,Capability,Dmd_Skill,Dmd_Level,Dmd_Location,Client_Interview_(Y/N)
R40708832,AA&ME,jasonjohnson@example.com,Curtis Peters,Employee Initiated,Global Clients,Project - OR,4/25/2024 15:58,2/14/2024 1:14,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,7,Coimbatore,Yes
R40151913,North America Market,gbowman@example.org,Deborah Smith,Attrition,Domestic Clients,Client Interview - OR,12/3/2024 16:07,3/1/2024 21:48,Microsoft Platform,Microsoft Dynamics CRM Functional,7,Hyderabad,No
R40825621,AA&ME,jonesrobert@example.org,Benjamin Figueroa,New Deal,Domestic Clients,Open For Internal Fulfillment,6/20/2024 16:29,9/21/2024 12:06,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),7,Mumbai,No
R40670712,Europe,paynejustin@example.com,Timothy Pham,Attrition,Global Clients,Client Interview - OR,10/25/2024 17:57,1/9/2024 23:32,Microsoft Platform,Microsoft Robotic Process Automation,6,Kolkata,Yes
R40127176,AA&ME,craig94@example.org,Alexandria Smith,Project Initiated,Global-Captive,Client Interview - OR,10/23/2024 12:56,6/14/2024 14:30,Microsoft Platform,Microsoft Dynamics 365 Operations Functional,5,Chennai,Yes
R40198655,Growth Markets,michellestephens@example.org,Jodi Kaiser,Ramp-up,Global Clients,Open For Internal Fulfillment,6/18/2024 21:51,11/3/2024 10:24,Microsoft Business Apps,Microsoft Azure DevOps,7,Jaipur,Yes
R40345829,Growth Markets,samantha90@example.net,Douglas Meadows,Add-up,Global-Captive,Client Interview - OR,1/10/2024 10:56,6/18/2024 10:58,Microsoft Business Apps,Sitecore,6,Ahmedabad,Yes
R40993561,Growth Markets,david72@example.com,Thomas Mckenzie,Project Initiated,Domestic Clients,Project - OR,4/3/2024 14:32,8/28/2024 7:25,Microsoft Platform,Microsoft SDET,5,Chennai,No
R40042059,AA&ME,kevinwheeler@example.net,Ashley Vasquez,Project Initiated,Global-Captive,Client Interview - OR,6/25/2024 0:45,9/7/2024 4:45,Microsoft Business Apps,Microsoft Azure Analytics Services,10,Indore,Yes
R40284387,Europe,kendramendez@example.com,Julie Mcintyre,New Deal,Global Clients,Client Interview - OR,5/27/2024 18:25,8/19/2024 5:50,Microsoft Platform,Sitecore,6,Pune,No
R40233132,AVANADE,williamwatson@example.com,Mary Flowers,Ramp-up,Captive,Open For Internal Fulfillment,11/9/2024 8:49,9/29/2024 19:52,Microsoft Platform,Microsoft Power Apps,6,Gurugram,Yes
R40393601,North America Market,wchristian@example.com,Joshua Hampton,Ramp-up,Global-Captive,Open For Internal Fulfillment,2/21/2024 13:59,4/6/2024 3:43,Microsoft Platform,Microsoft Azure Data Services,5,Gurugram,No
R40004791,AA&ME,richard65@example.com,Richard Mason,New Deal,Captive,Project - OR,12/15/2024 7:21,8/31/2024 15:23,Microsoft Platform,Microsoft 365 SharePoint Online Development,10,Chennai,No
R40096107,North America Market,brianhale@example.com,Geoffrey Perez,New Deal,Global-Captive,Project - OR,11/6/2024 5:43,6/19/2024 0:24,Microsoft Platform,Microsoft Power Apps,5,Kolkata,No
R40077230,AVANADE,mike37@example.net,Jennifer Ramsey,Attrition,Global Clients,Project - OR,11/14/2024 9:58,7/26/2024 2:16,Microsoft Platform,Microsoft Azure DevOps,8,Mumbai,Yes
R40859737,AA&ME,rodriguezfelicia@example.org,Ronald Curtis,Attrition,Global-Captive,Client Interview - OR,5/5/2024 23:22,4/3/2024 0:46,Microsoft Business Apps,Microsoft Azure Analytics Services,7,Chennai,No
R40288112,AA&ME,iwiggins@example.net,John Camacho,Attrition,Global-Captive,Project - OR,11/6/2024 7:25,3/22/2024 3:14,Microsoft Business Apps,Microsoft Azure PaaS,6,Hyderabad,Yes
R40677252,Growth Markets,barrettdeanna@example.org,Leslie Mason,Employee Initiated,Global Clients,Client Interview - OR,7/18/2024 11:14,8/27/2024 15:34,Microsoft Platform,Microsoft SQL Server Integration Services SSIS,10,Jaipur,Yes
R40462372,AVANADE,brandon71@example.net,Aaron Davis,Project Initiated,Domestic Clients,Open For Internal Fulfillment,12/4/2024 1:49,1/30/2024 21:50,Microsoft Platform,Microsoft Robotic Process Automation Advanced,9,Ahmedabad,Yes
R40067931,AA&ME,kathleen10@example.com,Tracy Bennett,New Deal,Captive,Project - OR,5/15/2024 2:05,10/9/2024 6:30,Microsoft Platform,Sitecore,9,Kolkata,Yes
R40626782,North America Market,nwatkins@example.net,Gregory Anderson,Employee Initiated,Global Clients,Project - OR,3/10/2024 6:42,9/14/2024 3:53,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,8,Bengaluru,No
R40586723,Europe,kevinmcpherson@example.com,Christopher Harrison,Employee Initiated,Global Clients,Client Interview - OR,6/7/2024 16:00,9/30/2024 12:40,Microsoft Business Apps,Microsoft Azure IaaS,8,Coimbatore,Yes
R40630808,AA&ME,morrischarles@example.org,Ronald Sanders,Ramp-up,Global Clients,Project - OR,3/18/2024 9:18,4/14/2024 5:00,Microsoft Business Apps,Microsoft Dynamics CRM Functional,8,Mumbai,No
R40654480,Europe,bmartinez@example.net,Whitney Hutchinson,Attrition,Global Clients,Project - OR,10/19/2024 16:39,3/29/2024 6:13,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,4,Jaipur,No
R40998165,Europe,andre44@example.net,Mrs. Brenda Gomez MD,Ramp-up,Global-Captive,Client Interview - OR,12/1/2024 16:17,1/25/2024 1:24,Microsoft Platform,Microsoft 365 SharePoint Online Development,9,Mumbai,No
R40684798,AVANADE,johnclarke@example.com,Rebecca Mitchell,Ramp-up,Global-Captive,Project - OR,5/3/2024 6:14,6/2/2024 10:32,Microsoft Platform,Microsoft Azure DevOps,8,Coimbatore,No
R40815824,AVANADE,pkoch@example.net,Samantha Campbell,Employee Initiated,Global Clients,Project - OR,11/21/2024 5:04,5/19/2024 13:23,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,7,Chennai,No
R40299802,North America Market,esuarez@example.org,Ashley Smith,Add-up,Global Clients,Open For Internal Fulfillment,6/15/2024 11:57,4/2/2024 8:14,Microsoft Platform,Microsoft Robotic Process Automation,9,Bengaluru,Yes
R40560161,AVANADE,stacy61@example.com,Kenneth Richmond,Add-up,Global Clients,Project - OR,3/27/2024 20:35,7/7/2024 2:09,Microsoft Business Apps,Microsoft Dynamics CRM Functional,8,Hyderabad,No
R40767647,AA&ME,sarah36@example.net,Katherine Stewart,Ramp-up,Global Clients,Project - OR,1/4/2024 23:42,4/6/2024 20:25,Microsoft Business Apps,Microsoft SQL Server,6,Chennai,No
R40393864,AA&ME,brownmolly@example.com,Amanda Hernandez,Ramp-up,Captive,Client Interview - OR,4/16/2024 3:39,7/27/2024 17:49,Microsoft Platform,Microsoft Robotic Process Automation Advanced,9,Noida,Yes
R40867697,Growth Markets,colliershane@example.net,Heather Vasquez,Project Initiated,Captive,Client Interview - OR,4/30/2024 1:54,8/31/2024 19:09,Microsoft Business Apps,ASP.NET MVC,4,Ahmedabad,No
R40768149,North America Market,qmartin@example.net,Samuel Williams,Ramp-up,Captive,Open For Internal Fulfillment,8/2/2024 8:03,7/7/2024 4:52,Microsoft Platform,Microsoft Dynamics 365 Operations Functional,10,Kolkata,No
R40262423,AVANADE,brenda02@example.net,Amy Johnson,Add-up,Global Clients,Client Interview - OR,7/24/2024 23:05,11/6/2024 17:12,Microsoft Platform,Microsoft SQL Server,6,Kolkata,No
R40824234,Growth Markets,mark16@example.net,Christopher Mcfarland DVM,Project Initiated,Captive,Open For Internal Fulfillment,1/31/2024 22:24,2/22/2024 19:38,Microsoft Platform,Microsoft Power BI,6,Pune,No
R40356650,Growth Markets,hensleygerald@example.net,Shari Hicks,Ramp-up,Global Clients,Project - OR,1/13/2024 0:28,3/10/2024 5:15,Microsoft Platform,Microsoft Front End Development (FED) Angular,6,Coimbatore,Yes
R40232943,Europe,bradleyeric@example.net,Michelle Campbell,New Deal,Captive,Project - OR,7/27/2024 23:02,5/28/2024 9:33,Microsoft Platform,Sitecore,9,Bengaluru,Yes
R40970071,Europe,joseph91@example.net,Cindy Jones,Employee Initiated,Captive,Project - OR,3/5/2024 13:59,3/27/2024 11:38,Microsoft Business Apps,Microsoft Front End Development (FED) Angular,9,Indore,No
R40314871,AVANADE,kpearson@example.com,Shannon Joyce,New Deal,Captive,Client Interview - OR,7/25/2024 0:43,11/7/2024 6:48,Microsoft Platform,ASP.NET MVC,4,Ahmedabad,Yes
R40974014,Europe,nicholas29@example.com,Leslie Anderson,Attrition,Captive,Client Interview - OR,12/11/2024 9:06,7/7/2024 19:48,Microsoft Business Apps,Microsoft Power BI,4,Hyderabad,No
R40536340,North America Market,brittany08@example.org,Dawn Campbell,Attrition,Global Clients,Open For Internal Fulfillment,12/28/2024 14:11,3/7/2024 10:31,Microsoft Platform,Microsoft Power BI,5,Ahmedabad,No
R40738133,Europe,phillipsashley@example.com,Stephanie Brown,Employee Initiated,Global Clients,Client Interview - OR,1/1/2024 11:02,8/5/2024 7:40,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,6,Kolkata,Yes
R40031071,AA&ME,caitlin55@example.org,Joshua Klein,New Deal,Global Clients,Project - OR,11/28/2024 9:26,12/29/2024 9:45,Microsoft Platform,ASP.NET MVC,4,Indore,Yes
R40273456,AA&ME,whitekristina@example.com,Glenn Morales,Ramp-up,Global-Captive,Open For Internal Fulfillment,2/19/2024 17:20,10/13/2024 13:47,Microsoft Business Apps,Microsoft Front End Development (FED) Angular,6,Indore,Yes
R40478295,Growth Markets,thomasramirez@example.net,Jason Jacobs,Attrition,Global-Captive,Project - OR,5/4/2024 11:05,7/14/2024 0:45,Microsoft Business Apps,Microsoft Power Apps,7,Indore,Yes
R40721765,North America Market,micheal18@example.org,Kelsey Houston,Add-up,Global-Captive,Client Interview - OR,3/8/2024 12:45,9/7/2024 12:43,Microsoft Platform,Microsoft Front End Development (FED) Angular,5,Bengaluru,No
R40075249,AVANADE,david22@example.org,Mark Herman,Attrition,Global-Captive,Open For Internal Fulfillment,6/9/2024 14:05,5/17/2024 5:32,Microsoft Business Apps,Microsoft Dynamics 365 Operations Functional,10,Bengaluru,No
R40123599,Growth Markets,mark91@example.net,Sandra Cross,Project Initiated,Domestic Clients,Open For Internal Fulfillment,10/9/2024 7:55,3/12/2024 9:37,Microsoft Platform,Microsoft Azure DevOps,6,Mumbai,No
R40703131,AVANADE,william97@example.com,Sarah Chan,Ramp-up,Domestic Clients,Open For Internal Fulfillment,1/29/2024 23:50,1/6/2024 23:35,Microsoft Business Apps,Microsoft Robotic Process Automation,5,Indore,Yes
R40930065,AVANADE,glawson@example.org,Paul Harmon,Employee Initiated,Global Clients,Project - OR,11/7/2024 0:18,5/17/2024 21:47,Microsoft Business Apps,Microsoft Dynamics 365 Operations Functional,4,Bengaluru,Yes
R40003193,Europe,jjohnson@example.net,Karen Phillips,New Deal,Global Clients,Client Interview - OR,7/17/2024 0:42,1/27/2024 20:18,Microsoft Business Apps,Microsoft Azure IaaS,5,Chennai,No
R40437806,AA&ME,lauraescobar@example.org,Riley Reyes,Add-up,Captive,Open For Internal Fulfillment,5/21/2024 9:16,12/15/2024 14:10,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,6,Kolkata,Yes
R40891283,Europe,dillontanya@example.net,Lee Collins,Ramp-up,Global-Captive,Open For Internal Fulfillment,1/17/2024 12:55,10/17/2024 16:41,Microsoft Platform,ASP.NET MVC,10,Noida,Yes
R40598730,Europe,jillrogers@example.net,Jacob Baker,Attrition,Captive,Open For Internal Fulfillment,1/22/2024 6:04,7/29/2024 20:30,Microsoft Business Apps,Microsoft Azure IaaS,7,Indore,Yes
R40958526,AA&ME,natalieruiz@example.com,John Grant,Attrition,Global Clients,Project - OR,4/4/2024 7:33,4/23/2024 16:31,Microsoft Business Apps,Microsoft Dynamics CRM Functional,9,Hyderabad,Yes
R40067533,Growth Markets,ohernandez@example.net,Abigail Thomas,Add-up,Captive,Client Interview - OR,6/15/2024 18:19,5/20/2024 12:23,Microsoft Business Apps,Microsoft Functional Testing,5,Noida,Yes
R40348510,AA&ME,jglover@example.org,Larry Macias,New Deal,Captive,Open For Internal Fulfillment,7/21/2024 8:56,5/13/2024 22:01,Microsoft Platform,Microsoft Azure PaaS,7,Jaipur,No
R40767573,AVANADE,michaelho@example.net,Kelly Coffey,Add-up,Domestic Clients,Project - OR,3/9/2024 10:39,1/12/2024 4:04,Microsoft Business Apps,Microsoft Front End Development React Javascript (FED ReactJS),4,Bengaluru,No
R40307921,Europe,tuckerjustin@example.org,Dawn Adams,Ramp-up,Captive,Open For Internal Fulfillment,1/18/2024 22:58,8/24/2024 20:52,Microsoft Platform,Microsoft Power BI,8,Chennai,Yes
R40548460,Europe,danielsjack@example.net,John Garcia,Add-up,Domestic Clients,Open For Internal Fulfillment,7/7/2024 0:43,12/27/2024 22:11,Microsoft Business Apps,Microsoft Power BI,4,Pune,No
R40012431,Europe,stevensontodd@example.net,Maureen Kaufman,Attrition,Global-Captive,Project - OR,8/10/2024 14:45,4/9/2024 23:53,Microsoft Business Apps,Microsoft Dynamics CRM Technical,7,Coimbatore,Yes
R40562294,AA&ME,jsmith@example.net,Teresa Gamble,New Deal,Captive,Client Interview - OR,3/22/2024 16:57,5/2/2024 0:34,Microsoft Business Apps,Microsoft SQL Server,10,Hyderabad,Yes
R40819507,AVANADE,brandon27@example.org,Elizabeth Brown,Attrition,Domestic Clients,Open For Internal Fulfillment,6/16/2024 16:38,9/16/2024 21:02,Microsoft Platform,Microsoft Power BI,7,Noida,Yes
R40404735,Europe,cthomas@example.org,Norman Stein,Attrition,Global-Captive,Open For Internal Fulfillment,5/18/2024 17:35,5/22/2024 18:43,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,8,Indore,No
R40400577,AA&ME,james46@example.org,Bailey Walls,Ramp-up,Global Clients,Open For Internal Fulfillment,12/4/2024 3:37,4/27/2024 4:57,Microsoft Platform,Microsoft Power BI,10,Ahmedabad,No
R40052989,Europe,vanessa09@example.com,Melissa Johnson,Attrition,Global-Captive,Client Interview - OR,4/16/2024 5:59,3/10/2024 13:21,Microsoft Platform,Microsoft 365 SharePoint Online Development,7,Mumbai,No
R40518637,North America Market,wcarr@example.net,Jon Moore,New Deal,Captive,Client Interview - OR,4/9/2024 23:07,11/28/2024 13:20,Microsoft Business Apps,Microsoft Azure Data Services,4,Jaipur,Yes
R40504378,AA&ME,michellerogers@example.org,Cory Bryant,Employee Initiated,Global Clients,Project - OR,4/28/2024 21:08,5/26/2024 10:26,Microsoft Business Apps,Sitecore,4,Noida,No
R40085987,AA&ME,nicole06@example.com,Jennifer Franklin,Project Initiated,Global Clients,Open For Internal Fulfillment,5/14/2024 22:31,11/29/2024 0:32,Microsoft Business Apps,Microsoft Dynamics CRM Functional,8,Chennai,No
R40309781,Growth Markets,wjones@example.net,Lauren Mays,New Deal,Captive,Client Interview - OR,10/24/2024 17:16,11/20/2024 14:23,Microsoft Business Apps,Microsoft ASP.NET,6,Hyderabad,No
R40130610,Europe,mary87@example.org,Joseph Wallace,Add-up,Captive,Open For Internal Fulfillment,3/2/2024 3:35,12/7/2024 14:01,Microsoft Platform,Microsoft Dynamics CRM Functional,4,Gurugram,Yes
R40811504,AA&ME,zrodriguez@example.com,Mary Martinez,Attrition,Global-Captive,Client Interview - OR,11/14/2024 20:02,2/7/2024 16:03,Microsoft Business Apps,Microsoft Dynamics 365 ERP Technical,4,Ahmedabad,No
R40413906,North America Market,scampbell@example.org,Connie Sampson,Ramp-up,Global-Captive,Project - OR,9/20/2024 17:53,12/5/2024 11:37,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,8,Mumbai,No
R40720836,Growth Markets,johnsmith@example.net,Steven Hall,Attrition,Domestic Clients,Project - OR,2/22/2024 10:44,5/28/2024 9:07,Microsoft Platform,Microsoft Azure Analytics Services,6,Bengaluru,Yes
R40241789,AA&ME,brianmedina@example.org,Devin Hernandez,Add-up,Domestic Clients,Client Interview - OR,3/30/2024 9:24,11/18/2024 20:25,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,4,Pune,No
R40048400,Growth Markets,brendarodriguez@example.net,Bill Coffey,Attrition,Captive,Client Interview - OR,6/8/2024 15:59,11/8/2024 23:20,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,5,Chennai,Yes
R40273788,Growth Markets,snyderrodney@example.com,Christine Scott,Add-up,Domestic Clients,Open For Internal Fulfillment,11/18/2024 6:36,1/18/2024 23:28,Microsoft Platform,Microsoft Front End Development (FED) Angular,9,Coimbatore,No
R40963558,Growth Markets,wprice@example.net,Louis Sanchez,Ramp-up,Global-Captive,Open For Internal Fulfillment,6/11/2024 18:35,9/10/2024 8:15,Microsoft Platform,ASP.NET MVC,8,Ahmedabad,No
R40021925,AVANADE,claudia80@example.org,Gabrielle Crawford,Add-up,Global Clients,Client Interview - OR,9/12/2024 16:57,4/14/2024 12:38,Microsoft Business Apps,Microsoft Dynamics CRM Technical,6,Hyderabad,Yes
R40889204,AVANADE,trujilloarthur@example.com,Lori Wall,New Deal,Captive,Client Interview - OR,5/29/2024 5:17,2/4/2024 17:43,Microsoft Platform,Microsoft Azure PaaS,9,Jaipur,Yes
R40251490,North America Market,jerry53@example.com,Thomas Kirby,Ramp-up,Captive,Project - OR,3/13/2024 21:38,10/29/2024 2:23,Microsoft Business Apps,Microsoft Dynamics 365 Finance Functional,6,Chennai,No
R40397609,Europe,gregory12@example.org,Robert Johnson,Attrition,Global-Captive,Open For Internal Fulfillment,6/12/2024 0:15,4/29/2024 6:27,Microsoft Platform,Microsoft SDET,6,Bengaluru,Yes
R40217557,North America Market,dcooper@example.net,Ashley Hernandez,Ramp-up,Captive,Project - OR,10/22/2024 1:09,8/24/2024 6:55,Microsoft Platform,Microsoft Dynamics 365 Operations Functional,10,Chennai,No
R40155112,North America Market,derek27@example.net,Julia Lee,Project Initiated,Domestic Clients,Open For Internal Fulfillment,5/10/2024 20:42,12/6/2024 4:56,Microsoft Business Apps,Microsoft Dynamics CRM Functional,5,Gurugram,No
R40735848,AA&ME,bryan21@example.com,Teresa Price,Add-up,Captive,Open For Internal Fulfillment,8/18/2024 4:06,1/19/2024 22:55,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,9,Gurugram,Yes
R40582348,AA&ME,lfreeman@example.net,Jessica Raymond,Ramp-up,Global Clients,Open For Internal Fulfillment,5/28/2024 10:52,9/26/2024 15:29,Microsoft Platform,Sitecore,4,Coimbatore,No
R40247511,Growth Markets,aliciamarquez@example.com,Jeffrey Watson,Ramp-up,Global Clients,Open For Internal Fulfillment,2/11/2024 14:48,10/1/2024 0:25,Microsoft Platform,Microsoft Dynamics 365 Finance Functional,5,Ahmedabad,Yes
R40023316,Europe,bailey42@example.org,Jimmy Miller,Project Initiated,Domestic Clients,Project - OR,8/29/2024 20:12,5/7/2024 16:42,Microsoft Business Apps,ASP.NET MVC,7,Bengaluru,No
R40345001,Europe,steve69@example.net,Jordan Fields,Add-up,Captive,Client Interview - OR,9/30/2024 4:30,11/4/2024 14:42,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,9,Mumbai,Yes
R40678667,AVANADE,westlauren@example.org,Lisa Pearson,New Deal,Captive,Open For Internal Fulfillment,10/5/2024 19:47,9/3/2024 14:32,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,8,Noida,Yes
R40385851,Growth Markets,mark93@example.com,Patrick Gomez,Employee Initiated,Global-Captive,Open For Internal Fulfillment,10/25/2024 7:11,1/25/2024 11:41,Microsoft Platform,Microsoft Front End Development (FED) Angular,8,Mumbai,No
R40854264,Europe,josephlarsen@example.org,Glen Klein,Add-up,Domestic Clients,Open For Internal Fulfillment,12/11/2024 21:06,3/26/2024 11:52,Microsoft Platform,Microsoft Robotic Process Automation Advanced,5,Kolkata,Yes
R40802114,Growth Markets,michelle27@example.org,Andrew Fuentes,Employee Initiated,Global-Captive,Project - OR,2/24/2024 14:14,12/19/2024 7:30,Microsoft Business Apps,Microsoft SDET,9,Ahmedabad,No
R40442143,Europe,halljose@example.com,Amanda Perez,Employee Initiated,Global-Captive,Project - OR,12/3/2024 17:16,9/1/2024 4:42,Microsoft Platform,Microsoft Azure PaaS,6,Pune,No
